aet,date,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs
29.736729130777356,1975-01-01,0.0,-2.8024400915232808,32.13693287509198,98.73512016472333,54.59766407238386,61.727712215434785,93.47837378672745,12.052967136957657,-0.7563106058846214,7.973978775433917,0.5532115179250295,0.28234677776831335,2.835958712908661
33.130897652783396,1975-02-01,0.0,-1.3192853571034107,35.50280688427014,157.93711136532718,104.4601408713024,61.727712215434785,141.75040818824434,32.43532639505012,-0.4829563764648276,7.626094242681247,0.5429954730127073,0.2874142172994649,2.4712058068895693
68.18248770205119,1975-03-01,10.326978869032931,-1.916615931642545,78.82599889121124,48.453888482930765,28.28453875713249,44.815414579197565,173.5906152092045,1.3006572173754027,3.3010294399530906,14.614129446786208,0.6321836015033995,0.6044106935471131,2.0901023544164783
59.267143682126246,1975-04-01,70.63687552021143,-2.4196616863557425,129.90373405810766,36.91835324927889,2.001840464044725,21.858125435476577,217.95904284186736,0.0,7.9551015481606235,19.93515124666711,0.7416214106502108,0.9795581419137961,3.807766140161903
16.89006426545063,1975-05-01,136.654708731078,-2.8369231660600334,153.55193674607074,10.796437721253374,0.618544943906465,15.20517813227677,268.7981342818761,0.0,10.11960337374935,22.358465176879736,0.8509426820701597,1.1427766758268711,2.9740775108688293
3.3790906276392647,1975-06-01,182.66916690202243,-2.6401741811476866,186.0508984352657,0.0,0.0,11.860344235243593,305.6528636210433,0.0,13.830119259298783,26.736380192487953,0.9798730343353594,1.596219556710077,3.2364411432558358
2.0802900265948945,1975-07-01,218.27990897391953,-2.397626647713197,220.3603007096544,0.0,0.0,9.77810077369314,324.6167729063259,0.0,15.786559110643436,29.45788510738824,1.0892075941013302,1.8974441078592335,3.8851423296269982
1.5990262440011351,1975-08-01,194.05916866396677,-2.174161697019783,195.65122161683996,0.2205799146251818,0.0,8.341062738930551,290.8232008913776,0.0,15.241323838125524,28.972026929895907,1.098962245355266,1.801443003689485,3.556258915851475
12.155103151162967,1975-09-01,140.3286296354106,-1.4003899819417702,152.47406937223568,11.665442543437628,0.7057421581600897,7.288404152754154,253.73038221960667,0.0,13.122573125774407,27.00223724787859,0.9750209360256699,1.6052587972564738,2.998289437559458
5.364113477894253,1975-10-01,90.35910351143079,-2.180895960121646,95.7170248222194,4.774929505255054,0.0,6.471642073486244,182.4034672804808,0.0,8.707126500114708,21.615017414990266,0.8328249446726452,1.056829505893546,2.235875394824227
57.75791680064634,1975-11-01,0.06724821689762797,-1.492360151970054,57.88482099422278,83.16204071435746,4.219088986599574,27.65012240553048,125.85050545516643,0.0,4.624278258384144,14.551748366126274,0.6577905207407443,0.6130689928132496,2.4255084852483684
32.42870522104652,1975-12-01,0.0,-0.9067877463240624,34.85338109193529,133.12515372860375,57.366294593521374,61.727712215434785,97.14739296800904,9.2112706822962,-0.5942355628243103,8.726916677975968,0.5091727448304183,0.35668902990781204,2.4125396488365216
33.978149135458686,1976-01-01,0.0,-1.5720033807047658,36.36734419326663,89.44438770540665,49.82582143341822,61.727712215434785,103.78144365847511,14.878160546661816,-0.23795895960800872,8.320860779654135,0.506058170781424,0.35397945331371156,2.4536536621063934
32.00789917441303,1976-02-01,0.0,-0.7890395176756134,34.989793724843516,127.01584581399688,71.71003453654959,61.727712215434785,121.88880869348918,38.15253545386085,-1.6868183894798463,7.21804837996914,0.46637104586529254,0.32433613356106783,3.0914240176210677
70.36387756485458,1976-03-01,2.4602488294347067,-0.7100125414556093,74.41005733178619,77.30293714858743,36.3476622724025,57.496147537075196,192.33334803204957,13.050067197043074,1.215817951642854,11.354417147669238,0.5745864931837755,0.4461703920848625,3.0685145873892283
96.32122409062544,1976-04-01,19.700556431999324,1.2524192511343615,116.03189954283181,76.3410517896095,14.69418478297044,35.87588634822074,216.97542187149963,0.0677575505146112,6.98818201466692,17.55578222642625,0.6720324137941334,0.8520681664519593,3.2166110859566523
76.76340280446603,1976-05-01,85.00407992624005,2.656734526646308,161.77124800660548,63.24625824612247,3.19678972969983,19.250370273163806,269.12985413901305,0.0,10.345242744138927,23.147728661151987,0.722645712029866,1.3482083786215437,2.9075314701283874
5.377476811823953,1976-06-01,190.12098748476296,2.425580962689849,195.49437465723918,0.0,0.0,13.980348400332687,311.85837930757566,0.0,12.944453102468358,26.008102932312376,0.8211316634124357,1.636055102254565,3.745752629297412
2.8660812311927404,1976-07-01,210.9285842622936,2.2397758106131485,213.79427910199772,0.0,0.0,11.117389152048412,314.00110699537936,0.0,14.168046104520892,28.0997260088624,0.9113404344978596,1.828196182218978,3.926032247244903
1.9065778929403672,1976-08-01,186.8641527922056,2.036217218771916,188.77633037986945,0.0,0.0,9.26839444508065,283.6099239837269,0.0,14.155960377042417,27.513407334985466,1.0478553750909998,1.6288832181548976,3.7555632291368215
9.802274891264128,1976-09-01,130.20458071503936,2.2465838824635176,140.01046047329032,8.94642575986725,0.4040584758952594,7.976219582521122,245.03868350308198,0.0,12.122853406658429,25.153982041211517,0.9314517896366432,1.4136364570007514,2.7954556690381547
41.17296582738621,1976-10-01,56.5377254782414,2.357188047253788,97.70702087856206,42.38419523916448,2.1047378636081384,7.003864037145083,185.97796295624576,0.0,10.066725475116977,22.16160973766863,0.9131962895386284,1.0741602733363496,2.263980712621477
64.17573933388711,1976-11-01,0.02186319950844881,2.787042001514154,64.19679290853482,96.24974627054038,5.440437663110575,33.63391102549081,127.24557782596719,0.0,6.147558770073348,16.673713940428325,0.8074775001640349,0.6339513763201496,2.99328966646276
