system:index,aet,date,def,pdsi,pet,pr,ro,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,.geo
197501,297.36729130777354,1975-01-01,0.0,-280.2440091523281,321.3693287509198,98.73512016472333,54.59766407238386,617.2771221543478,934.7837378672743,12.052967136957655,-7.563106058846214,79.73978775433916,553.2115179250295,28.234677776831337,283.5958712908661,"{""type"":""MultiPoint"",""coordinates"":[]}"
197502,331.3089765278339,1975-02-01,0.0,-131.92853571034107,355.02806884270143,157.93711136532718,104.46014087130239,617.2771221543478,1417.5040818824434,32.43532639505012,-4.829563764648276,76.26094242681246,542.9954730127073,28.74142172994649,247.12058068895695,"{""type"":""MultiPoint"",""coordinates"":[]}"
197503,681.8248770205118,1975-03-01,103.2697886903293,-191.6615931642545,788.2599889121124,48.453888482930765,28.284538757132495,448.15414579197557,1735.9061520920447,1.3006572173754027,33.010294399530906,146.14129446786208,632.1836015033995,60.44106935471131,209.01023544164784,"{""type"":""MultiPoint"",""coordinates"":[]}"
197504,592.6714368212624,1975-04-01,706.3687552021144,-241.96616863557423,1299.0373405810765,36.91835324927889,2.001840464044725,218.58125435476578,2179.5904284186736,0.0,79.55101548160623,199.3515124666711,741.6214106502108,97.9558141913796,380.77661401619025,"{""type"":""MultiPoint"",""coordinates"":[]}"
197505,168.90064265450627,1975-05-01,1366.54708731078,-283.6923166060033,1535.5193674607074,10.796437721253374,0.618544943906465,152.05178132276768,2687.981342818761,0.0,101.1960337374935,223.58465176879736,850.9426820701597,114.27766758268712,297.4077510868829,"{""type"":""MultiPoint"",""coordinates"":[]}"
197506,33.79090627639265,1975-06-01,1826.6916690202236,-264.01741811476865,1860.508984352657,0.0,0.0,118.60344235243592,3056.528636210433,0.0,138.30119259298783,267.3638019248795,979.8730343353594,159.6219556710077,323.64411432558353,"{""type"":""MultiPoint"",""coordinates"":[]}"
197507,20.802900265948946,1975-07-01,2182.799089739195,-239.76266477131972,2203.603007096544,0.0,0.0,97.7810077369314,3246.1677290632583,0.0,157.86559110643435,294.5788510738824,1089.2075941013302,189.74441078592338,388.5142329626998,"{""type"":""MultiPoint"",""coordinates"":[]}"
197508,15.990262440011353,1975-08-01,1940.5916866396674,-217.4161697019783,1956.5122161683994,0.2205799146251818,0.0,83.4106273893055,2908.2320089137756,0.0,152.41323838125524,289.72026929895907,1098.962245355266,180.14430036894854,355.6258915851475,"{""type"":""MultiPoint"",""coordinates"":[]}"
197509,121.55103151162966,1975-09-01,1403.286296354106,-140.03899819417705,1524.7406937223566,11.665442543437628,0.7057421581600897,72.88404152754154,2537.3038221960664,0.0,131.22573125774406,270.0223724787859,975.0209360256698,160.52587972564737,299.82894375594583,"{""type"":""MultiPoint"",""coordinates"":[]}"
197510,53.641134778942515,1975-10-01,903.5910351143078,-218.08959601216463,957.1702482221941,4.774929505255054,0.0,64.71642073486244,1824.034672804808,0.0,87.07126500114707,216.15017414990263,832.8249446726452,105.68295058935459,223.5875394824227,"{""type"":""MultiPoint"",""coordinates"":[]}"
197511,577.5791680064634,1975-11-01,0.6724821689762797,-149.2360151970054,578.8482099422278,83.16204071435746,4.219088986599574,276.50122405530476,1258.5050545516642,0.0,46.24278258384143,145.51748366126273,657.7905207407442,61.30689928132495,242.55084852483685,"{""type"":""MultiPoint"",""coordinates"":[]}"
197512,324.28705221046516,1975-12-01,0.0,-90.67877463240625,348.5338109193529,133.12515372860375,57.366294593521374,617.2771221543478,971.4739296800905,9.2112706822962,-5.942355628243103,87.26916677975967,509.1727448304183,35.668902990781206,241.25396488365217,"{""type"":""MultiPoint"",""coordinates"":[]}"
197601,339.78149135458676,1976-01-01,0.0,-157.20033807047656,363.67344193266626,89.44438770540665,49.82582143341822,617.2771221543478,1037.814436584751,14.878160546661816,-2.3795895960800872,83.20860779654134,506.058170781424,35.397945331371155,245.3653662106393,"{""type"":""MultiPoint"",""coordinates"":[]}"
197602,320.0789917441303,1976-02-01,0.0,-78.90395176756134,349.89793724843514,127.01584581399689,71.71003453654959,617.2771221543478,1218.8880869348918,38.15253545386085,-16.868183894798463,72.1804837996914,466.37104586529256,32.43361335610678,309.1424017621068,"{""type"":""MultiPoint"",""coordinates"":[]}"
197603,703.6387756485458,1976-03-01,24.602488294347065,-71.00125414556094,744.1005733178619,77.30293714858743,36.3476622724025,574.9614753707519,1923.3334803204955,13.050067197043074,12.15817951642854,113.54417147669238,574.5864931837755,44.61703920848625,306.8514587389228,"{""type"":""MultiPoint"",""coordinates"":[]}"
197604,963.2122409062542,1976-04-01,197.00556431999325,125.24192511343615,1160.318995428318,76.3410517896095,14.69418478297044,358.75886348220735,2169.754218714996,0.0677575505146112,69.8818201466692,175.55782226426248,672.0324137941334,85.20681664519593,321.66110859566516,"{""type"":""MultiPoint"",""coordinates"":[]}"
197605,767.6340280446602,1976-05-01,850.0407992624005,265.67345266463076,1617.7124800660547,63.246258246122466,3.19678972969983,192.50370273163804,2691.29854139013,0.0,103.45242744138926,231.47728661151984,722.645712029866,134.82083786215438,290.7531470128387,"{""type"":""MultiPoint"",""coordinates"":[]}"
197606,53.77476811823952,1976-06-01,1901.2098748476299,242.55809626898488,1954.9437465723913,0.0,0.0,139.80348400332687,3118.5837930757566,0.0,129.44453102468358,260.08102932312374,821.1316634124357,163.6055102254565,374.5752629297412,"{""type"":""MultiPoint"",""coordinates"":[]}"
